blue100H,blue100V,blue500H,blue500V,blueAvg,green100H,green100V,green500H,green500V,greenAvg,label,red100H,red100V,red500H,red500V,redAvg
178.16,184.06,127.46,184.06,79.9642498682,188.6,191.86,151.68,193.82,117.987013633,3,185.2,188.86,170.44,192.18,172.598284126
195.44,196.82,193.62,202.5,93.6053782449,200.4,200.82,198.88,203.5,127.590587199,3,194.08,194.82,188.38,194.5,187.768277699
153.76,161.04,98.32,190.76,122.609294995,168.88,175.28,120.88,197.76,174.059481041,1,168.88,173.2,130.88,194.76,168.100500736
153.1,153.66,135.12,135.46,75.196669954,166.18,166.98,153.12,144.72,91.5775042073,5,167.94,168.02,160.12,150.9,180.944081824
236.72,238.24,198.02,127.22,81.5813494606,243.72,245.24,214.88,191.06,164.313470089,1,240.72,242.24,212.0,193.42,158.0993787
125.86,125.56,130.2,132.92,118.145362001,135.98,137.24,141.46,140.92,166.028242081,1,135.56,140.84,139.42,139.92,163.220137162
154.88,160.66,58.18,162.06,80.3473513683,166.48,170.34,97.54,179.02,136.821754162,2,163.68,168.5,108.98,179.68,161.993771166
199.68,200.74,65.84,196.7,88.7668102475,207.34,208.74,107.5,207.76,128.785771481,2,206.26,207.74,151.64,206.78,169.149353886
205.3,208.26,187.26,220.48,92.1169357376,212.3,215.9,194.2,229.34,165.285281623,1,207.3,209.3,190.48,219.12,157.698248377
205.28,205.28,206.7,205.68,105.491531379,212.28,212.28,214.98,212.68,120.726731371,5,207.28,207.28,209.02,207.68,187.597730432
199.5,197.78,72.06,184.46,63.6603241085,206.5,206.22,102.6,195.56,93.558940873,3,203.5,203.22,221.68,194.68,170.744245524
208.66,204.62,214.56,187.58,93.8483579942,217.36,212.92,217.12,193.82,110.713721367,4,208.24,205.1,211.24,187.24,189.008361117
160.04,156.92,39.82,78.1,59.0163514232,174.12,172.24,54.9,96.64,80.712706509,5,173.98,173.04,164.44,145.3,168.625039772
141.44,137.84,43.56,99.26,64.2278573286,147.52,143.84,83.1,110.48,118.481000357,3,146.36,142.84,141.34,122.64,156.027987783
212.0,211.98,204.4,128.6,108.410165411,219.0,218.98,206.4,229.34,180.919924288,1,216.0,215.98,206.4,212.92,175.060253554
